Document ID,Metadata,Content
f9cd81c8-44ce-4bd4-be83-cdb6a4899757,"{'paragraph_num': '4.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Due diligence
a901eaeb-8959-442b-8b65-ad045220eca5,"{'paragraph_num': '5.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Value chain
96560e81-cb86-4cd7-a435-dba4578591e4,"{'paragraph_num': '5.1', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Reporting undertaking and value chain
cc806908-cc9a-4a8e-add5-0af3d095d080,"{'paragraph_num': '5.2', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Estimation using sector averages and proxies
b3fd8b3b-38e2-4650-9088-38cbf3bacb88,"{'paragraph_num': '6.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Time horizons
5b1acf2b-8ade-417d-8ac2-1b9deff39904,"{'paragraph_num': '6.1', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Reporting period
c500fb87-a3d9-4355-a569-179f4e26bd3d,"{'paragraph_num': '6.2', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}","Linking past, present and future"
0a1bae92-497b-466a-af21-daacba34934f,"{'paragraph_num': '6.3', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Reporting progress against the base year
d0fa28ad-bdbc-4ace-9812-ad88e8afde19,"{'paragraph_num': '6.4', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}","Definition of short-, medium- and long-term for reporting purposes"
b6d5a32e-a15e-45b8-ba02-e683e5d14564,"{'paragraph_num': '7', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Preparation and presentation of sustainability information
a2d43a05-83a2-4b45-89d0-f4184589495e,"{'paragraph_num': '7.1', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Presenting comparative information
bedf8b69-1656-464d-a894-e096ef0390aa,"{'paragraph_num': '7.2', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Sources of estimation and outcome uncertainty
59832822-74b6-4bdc-9004-01f50d4ff4eb,"{'paragraph_num': '7.3', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Updating disclosures about events after the end of the reporting period
5facc7e2-a96e-4eca-809d-20f286d8ccfc,"{'paragraph_num': '7.4', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Changes in preparation or presentation of sustainability information
8a81fac0-4b06-4741-9ad2-f14efb7e9415,"{'paragraph_num': '7.5', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Reporting errors in prior periods
40b4b5c6-c096-408f-9157-4803de15526a,"{'paragraph_num': '7.6', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Consolidated reporting and subsidiary exemption
f1eb8a65-de20-4d68-bcd0-8b743a24be96,"{'paragraph_num': '7.7', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}","Classified and sensitive information, and information on intellectual property, know-how or results of innovation"
2ded240c-f7a7-407e-9d3e-29fdff918c53,"{'paragraph_num': '7.8', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Reporting on opportunities
64e2106b-371f-453d-ba42-5ae61df61858,"{'paragraph_num': '8.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Structure of sustainability statement
af7a9cf9-cfb8-4e40-9586-e2d0b0a11c80,"{'paragraph_num': '8.1', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",General presentation requirement
2138c41c-345e-48a1-b0a8-222a88d5fbaa,"{'paragraph_num': '8.2', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Content and structure of the sustainability statement
5771bea2-b246-4605-aa8a-3ceb69e40244,"{'paragraph_num': '9.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Linkages with other parts of corporate reporting and connected information
56387f8c-2b8d-4cdc-a871-f51daa4b689d,"{'paragraph_num': '9.1', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Incorporation by reference
d1ed3ac7-e4da-4342-aa0e-042b805a019b,"{'paragraph_num': '9.2', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Connected information and connectivity with financial statements
881ebfdc-bfda-4a33-bdce-b98350ff69c5,"{'paragraph_num': '10.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Transitional provisions
40435692-c15f-4435-8036-a19c01160f60,"{'paragraph_num': '10.1', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Transitional provision related to entity-specific disclosures
26bc3906-60c6-43e7-a33c-b6beb98870ce,"{'paragraph_num': '10.2', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Transitional provision related to chapter 5 Value chain
9e7c1fdc-ef4c-4e1b-b73b-7bba5f420bd9,"{'paragraph_num': '10.3', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Transitional provision related to section 7.1 Presenting comparative information
8c54e809-c150-4e74-b2ab-b15caa5414db,"{'paragraph_num': '10.4', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Transitional provision: List of Disclosure Requirements that are phased-in
493c6d4c-27e7-4c16-a675-f91dc4def971,"{'paragraph_num': 'Appendix A:', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Application Requirements
92c2db71-a4d9-44f7-9fb2-ad2fc7b996d0,"{'paragraph_num': '–', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Entity-specific disclosures
699ecd22-46f6-43c5-a694-a1e0a51fa24e,"{'paragraph_num': '–', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Double materiality
9fb5a60a-4959-4796-91c9-b50094d83b7e,"{'paragraph_num': '–', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Estimation using sector averages and proxies
2caae0f4-190a-458c-a051-8000e226b140,"{'paragraph_num': '–', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Content and structure of the sustainability statement
ba252287-5a6d-403d-b708-a06128ba8d81,"{'paragraph_num': 'Appendix B:', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Qualitative characteristics of information
173ddd10-24a8-412d-9b87-7de806fd47ee,"{'paragraph_num': 'Appendix C:', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",List of phased-in Disclosure Requirements
9bddb7af-cfd1-4288-aeac-3ae2b788505a,"{'paragraph_num': 'Appendix D:', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Structure of ESRS sustainability statement
7e80e9ac-ecb7-4c0f-9e70-1f293da38628,"{'paragraph_num': 'Appendix E:', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Flowchart for determining disclosures to be included
c1a831fe-5232-479c-bc4c-8a45927b9078,"{'paragraph_num': 'Appendix F:', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Example of structure of ESRS sustainability statement
cbb4877a-4f3f-4b1d-a449-46efdc3a01f8,"{'paragraph_num': 'Appendix G:', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Example of incorporation by reference
24872091-4d10-46d4-8e7b-d5984b51a469,"{'title_num': '', 'type': 'title_subsection', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': ''}",Objective
201878aa-b4bc-447a-8c14-ece2f6cb9a48,"{'paragraph_num': '1.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': ''}","The objective of European Sustainability  Reporting Standards (ESRS) is to specify the sustainability information  that an undertaking shall disclose in accordance with  Directive 2013/34/EU of the European Parliament and of the  Council ( 1 ) , as amended by Directive (EU) 2022/2464 of the European Parliament and of the Council. ( 2 ) Reporting in accordance with ESRS does not exempt undertakings from other obligations laid down in Union law."
a440e9d6-bd29-4c87-aa9d-fde67e517691,"{'paragraph_num': '2.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': ''}","Specifically, ESRS specify the information that an undertaking shall disclose about its material impacts , risks and opportunities in relation to environmental, social, and governance sustainability matters. ESRS do not require undertakings to  disclose any information on environmental, social and governance topics  covered by ESRS when the undertaking has assessed the topic in question  as non-material (See Appendix E of this Standard “ Flowchart for determining disclosures to be included ”).The information disclosed in accordance with ESRS enables users of the sustainability statement to understand the undertaking’s  material impacts on people and environment and the material effects of  sustainability matters on the undertaking’s development, performance and  position."
83594449-8c23-4f43-9a27-ab614b98fd87,"{'paragraph_num': '3.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': ''}","The objective of this Standard (ESRS 1) is  to provide an understanding of the architecture of ESRS, the drafting  conventions and fundamental concepts used, and the general requirements  for preparing and presenting sustainability information in accordance  with Directive 2013/34/EU, as amended by Directive  (EU) 2022/2464."
f00c9508-3e53-4d4a-8861-3246f349b3dd,"{'title_num': '1.', 'type': 'title_section', 'location_chapter': 'ESRS 1', 'location_section': '1.', 'location_subsection': ''}","Categories of ESRS Standards, reporting areas and drafting conventions"
77b92d7e-d922-489e-b659-f66db3ecd2e2,"{'title_num': '1.1', 'type': 'title_subsection', 'location_chapter': 'ESRS 1', 'location_section': '1.', 'location_subsection': '1.1'}",Categories of ESRS standards
715491a7-bc9b-40c7-8750-f7485217f587,"{'paragraph_num': '4.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '1.', 'location_subsection': '1.1'}","There are three categories of ESRS: (a) cross-cutting standards; (b) topical standards (Environmental, Social and Governance standards); and (c) sector-specific standards. Cross-cutting standards and  topical standards are sector-agnostic, meaning that they apply to all  undertakings regardless of which sector or sectors the undertaking  operates in."
288557ee-a112-4444-be68-9ccdb9a8be47,"{'paragraph_num': '5.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '1.', 'location_subsection': '1.1'}",The cross-cutting standards ESRS 1 General requirements and ESRS 2 General disclosures apply to the sustainability matters covered by topical standards and sector-specific standards.
2e15140d-5b49-4e38-8b28-39c28f883294,"{'paragraph_num': '6.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '1.', 'location_subsection': '1.1'}","This standard (ESRS 1) describes the  architecture of ESRS standards, explains drafting conventions and  fundamental concepts, and sets out general requirements for preparing  and presenting sustainability-related information."
a4a90d7f-aad2-4dc1-a07a-4cacb40e0984,"{'paragraph_num': '7.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '1.', 'location_subsection': '1.1'}","ESRS 2 establishes Disclosure Requirements  on the information that the undertaking shall provide at a general  level across all material sustainability matters on the reporting areas governance , strategy , impact, risk and opportunity management, and metrics and targets ."
ea67b085-9ec4-4690-a5ca-6fa8bc0dc9e5,"{'paragraph_num': '8.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '1.', 'location_subsection': '1.1'}","Topical ESRS cover a sustainability topic  and are structured into topics and sub-topics, and where necessary  sub-sub-topics. The table in Application Requirement 16 (AR 16) to this  standard provides an overview of the sustainability topics, sub-topics  and sub-sub-topics (collectively ‘ sustainability matters ’) covered by topical ESRS."
78b98308-ec46-4338-8dd4-a4b7e853eec6,"{'paragraph_num': '9.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '1.', 'location_subsection': '1.1'}",Topical ESRS can include specific  requirements that complement the general level Disclosure Requirements  of ESRS 2. ESRS 2 Appendix C Disclosure/Application Requirements in topical ESRS that are applicable jointly with ESRS 2 General Disclosures provides a list of the additional requirements in topical ESRS that the  undertaking shall apply in conjunction with the general level  disclosure requirements of ESRS 2.
2e65ade6-0729-4904-9b6b-636bb3f96e29,"{'paragraph_num': '10.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '1.', 'location_subsection': '1.1'}","Sector-specific standards are applicable to all undertakings within a sector. They address impacts, risks and opportunities that are likely to be material for  all undertakings in a specific sector and that are not covered, or not  sufficiently covered, by topical standards. Sector-specific standards  are multi-topical and cover the topics that are most relevant to the  sector in question. Sector-specific standards achieve a high degree of  comparability."
39aae174-591e-4f9f-9e68-75ee7e71d263,"{'paragraph_num': '11.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '1.', 'location_subsection': '1.1'}","In addition to the disclosure requirements  laid down in the three categories of ESRS, when an undertaking  concludes that an impact, risk or opportunity is not covered or not  covered with sufficient granularity by an ESRS but is material due to  its specific facts and circumstances, it shall provide additional  entity-specific disclosures to enable users to understand the  undertaking’s sustainability-related impacts, risks or opportunities . Application requirements AR 1 to AR 5 provide further guidance regarding entity-specific disclosures."
ea5c9a47-96b0-4582-a538-9e7152e8622d,"{'title_num': '1.2', 'type': 'title_subsection', 'location_chapter': 'ESRS 1', 'location_section': '1.', 'location_subsection': '1.2'}","Reporting areas and minimum content disclosure requirements on policies, actions, targets and metrics"
40b522a4-7081-4cf3-86e6-a8b85aa40626,"{'paragraph_num': '12.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '1.', 'location_subsection': '1.2'}","The Disclosure Requirements in ESRS 2, in  topical ESRS and in sector-specific ESRS are structured into the  following reporting areas: (a) Governance (GOV): the governance processes, controls and procedures used to monitor, manage and oversee impacts, risks and opportunities (see ESRS 2, chapter 2 Governance ); (b) Strategy (SBM): how the undertaking’s strategy and business model interact with its  material impacts, risks and opportunities, including how the undertaking  addresses those impacts, risks and opportunities (see ESRS 2, chapter 3 Strategy ); (c) Impact, risk and opportunity management (IRO): the process(es) by which the undertaking: i. identifies impacts, risks and opportunities and assesses their materiality (see IRO-1 in section 4.1 of ESRS 2), ii. manages material sustainability matters through policies and actions (see section 4.2 of ESRS 2). (d) Metrics and targets (MT): the undertaking’s performance, including targets it has set and progress towards meeting them (see ESRS 2, chapter 5 Metrics and targets )."
1449b598-8f70-467a-b2dd-20332610268a,"{'paragraph_num': '13.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '1.', 'location_subsection': '1.2'}","ESRS 2 includes: (a) in section 4.2 Minimum Disclosure Requirements regarding policies (MDR-P) and actions (MDR-A); (b) in section 5 Minimum Disclosure Requirements regarding metrics (MDR-M) and targets (MDR-T). The undertaking shall apply the minimum disclosure requirements regarding policies, actions, metrics  and targets together with the corresponding Disclosure Requirements in  topical and sector-specific ESRS."
c3a01001-0cf3-4283-bc3c-ec619e50d518,"{'title_num': '1.3', 'type': 'title_subsection', 'location_chapter': 'ESRS 1', 'location_section': '1.', 'location_subsection': '1.3'}",Drafting conventions
1db477d2-41bf-466c-bdaf-546159af1281,"{'paragraph_num': '14.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '1.', 'location_subsection': '1.3'}","In all ESRS: (a) the term “ impacts ” refers to positive and  negative sustainability-related impacts that are connected with the  undertaking’s business, as identified through an impact materiality assessment (see section 3.4 Impact materiality ). It refers both to actual impacts and to potential future impacts. (b) The term “ risks and opportunities ” refers to the  undertaking’s sustainability-related financial risks and opportunities,  including those deriving from dependencies on natural, human and social  resources, as identified through a financial materiality assessment (see section 3.5). Collectively, these are referred to as “impacts, risks and opportunities” (IROs). They reflect the double materiality perspective of ESRS described in section 3."
900d3fca-9467-4035-abb0-7df87d03857d,"{'paragraph_num': '15.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '1.', 'location_subsection': '1.3'}","Throughout ESRS, the terms that are defined in the glossary of definitions (Annex II) are put in bold italic , except when a defined term is used more than once in the same paragraph."
ef2c6a7e-520f-4722-bf75-0af4725c933a,"{'paragraph_num': '16.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '1.', 'location_subsection': '1.3'}",ESRS structure the information to be  disclosed under Disclosure Requirements. Each Disclosure Requirement  consists of one or more distinct datapoints. The term “datapoint” can  also refer to a narrative sub-element of a Disclosure Requirement.
274c5089-214b-4293-9497-e1b2ec53e801,"{'paragraph_num': '17.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '1.', 'location_subsection': '1.3'}",In addition to Disclosure Requirements  most ESRS also contain Application Requirements. Application  Requirements support the application of Disclosure Requirements and have  the same authority as other parts of an ESRS.
a69252e7-6cfd-40dd-90d6-96197d739553,"{'paragraph_num': '18.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '1.', 'location_subsection': '1.3'}","ESRS use the following terms to distinguish between different degrees of obligation on the undertaking to disclose information: (a) “shall disclose” – indicates that the provision is prescribed by a Disclosure Requirement or datapoint; (b) “may disclose” – indicates voluntary disclosure to encourage good practice. In addition, ESRS use the  term “shall consider” when referring to issues, resources or  methodologies that the undertaking is expected to take into account or  to use in the preparation of a given disclosure if applicable."
2c65ed3a-19d1-4d2c-8be1-a0b25ff0bdfd,"{'title_num': '2.', 'type': 'title_section', 'location_chapter': 'ESRS 1', 'location_section': '2.', 'location_subsection': ''}",Qualitative characteristics of information
70c5a2d1-72f7-4db4-a4a3-74ea63b90c1f,"{'paragraph_num': '19.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '2.', 'location_subsection': ''}","When preparing its sustainability statement , the undertaking shall apply: (a) the fundamental qualitative characteristics of information, i.e. relevance and faithful representation; and (b) the enhancing qualitative characteristics of information, i.e. comparability, verifiability and understandability."
7a22f4fc-7535-45d5-90af-9afbb42670ab,"{'paragraph_num': '20.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '2.', 'location_subsection': ''}",These qualitative characteristics of information are defined and described in Appendix B of this Standard.
3737fb33-f8a5-45d8-9cff-e4559b78ff07,"{'title_num': '3.', 'type': 'title_section', 'location_chapter': 'ESRS 1', 'location_section': '3.', 'location_subsection': ''}",Double materiality as the basis for sustainability disclosures
dc8abe4c-3245-4acf-a4c8-197fa50de739,"{'paragraph_num': '21.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '3.', 'location_subsection': ''}",The undertaking shall report on sustainability matters based on the double materiality principle as defined and explained in this chapter.
d43aaf7a-a354-4ab3-9817-3b63a72e68be,"{'title_num': '3.1', 'type': 'title_subsection', 'location_chapter': 'ESRS 1', 'location_section': '3.', 'location_subsection': '3.1'}",Stakeholders and their relevance to the materiality assessment process
39ff81e3-830e-4557-97d3-41046b109d22,"{'paragraph_num': '22.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '3.', 'location_subsection': '3.1'}","Stakeholders are those who can affect or be affected by the undertaking. There are two main groups of stakeholders: (a) affected  stakeholders: individuals or groups whose interests are affected or  could be affected – positively or negatively – by the undertaking’s  activities and its direct and indirect business relationships across its value chain ; and (b) users of sustainability statements : primary users of  general-purpose financial reporting (existing and potential investors,  lenders and other creditors, including asset managers, credit  institutions, insurance undertakings), and other users of sustainability  statements, including the undertaking’s business partners, trade unions  and social partners, civil society and non-governmental organisations,  governments, analysts and academics."
768cd78d-f4e7-4558-a906-6532202372f4,"{'paragraph_num': '23.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '3.', 'location_subsection': '3.1'}","Some, but not all, stakeholders may belong to both groups referred to in paragraph 22."
4c67132d-1f4d-4ed4-92ac-2c0d10fd1c5d,"{'paragraph_num': '24.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '3.', 'location_subsection': '3.1'}","Engagement with affected stakeholders is central to the undertaking’s on-going due diligence process (see chapter 4 Due diligence ) and sustainability materiality assessment. This includes its  processes to identify and assess actual and potential negative impacts,  which then inform the assessment process to identify the material  impacts for the purposes of sustainability reporting (see section 3.4 of  this Standard)."
220a518f-d72e-4274-9fb3-4a18d8713f60,"{'title_num': '3.2', 'type': 'title_subsection', 'location_chapter': 'ESRS 1', 'location_section': '3.', 'location_subsection': '3.2'}",Material matters and materiality of information
6897782f-3df1-43ea-94d0-4946ea9c1730,"{'paragraph_num': '25.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '3.', 'location_subsection': '3.2'}","Performing a materiality assessment (see sections 3.4 Impact materiality and 3.5 Financial materiality ) is necessary for the undertaking to identify the material impacts, risks and opportunities to be reported."
cf788288-0373-4f25-b6b1-5d8e335613ff,"{'paragraph_num': '26.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '3.', 'location_subsection': '3.2'}","Materiality assessment is the starting point for  sustainability reporting under ESRS. IRO-1 in section 4.1 of ESRS 2,  includes general disclosure requirements about the undertaking’s process  to identify impacts, risks and opportunities and assess their materiality. SBM-3  of ESRS 2 provides general disclosure requirements on the material  impacts, risks and opportunities resulting from the undertaking’s  materiality assessment."
